星視界頻道,#genre#
八大戏剧台,https://dispatch.ulivetv.net/v/live/cl7ckupkipc0.m3u8?stream_id=cl7ckupkipc0&timestamp=1686210762&rand=l88K5xENID&uuid=9b647b3816b2a66a&from=web&sign=bc64f0cb3cc5f26424adc2ec6d4b78f1
纬来戏剧台,https://dispatch.ulivetv.net/v/live/cl7cm1w9tl1c.m3u8?stream_id=cl7cm1w9tl1c&timestamp=1686210777&rand=p7cMgHyhqq&uuid=9b647b3816b2a66a&from=web&sign=dc78ef0cc150406a186ca970378f5eff
纬来电影台,https://dispatch.ulivetv.net/v/live/cl7cmdp021mo.m3u8?stream_id=cl7cmdp021mo&timestamp=1686210791&rand=h9R2SxNTfs&uuid=9b647b3816b2a66a&from=web&sign=ecab2a7330dc21d97a7b3171592fd021
龙华电影台,https://dispatch.ulivetv.net/v/live/cl7cn6bknxds.m3u8?stream_id=cl7cn6bknxds&timestamp=1686210805&rand=UqDAxSgwnv&uuid=9b647b3816b2a66a&from=web&sign=bb13dd35113b980df41ff7c82de7356f
龙华洋片台,https://dispatch.ulivetv.net/v/live/cl7cn6bknxds.m3u8?stream_id=cl7cn6bknxds&timestamp=1686210819&rand=v2leNj3kHz&uuid=9b647b3816b2a66a&from=web&sign=35968356f5e4e926196770d1df35584b
靖天电影台,https://dispatch.ulivetv.net/v/live/cl7cnhrqwreo.m3u8?stream_id=cl7cnhrqwreo&timestamp=1686210834&rand=9Wqvg4LR0j&uuid=9b647b3816b2a66a&from=web&sign=c6afafb47ba6fd7eb34c92c89ac692ba
美亚电影台,https://dispatch.ulivetv.net/v/live/cl7cpvwwclog.m3u8?stream_id=cl7cpvwwclog&timestamp=1686210848&rand=j5WriPmuhm&uuid=9b647b3816b2a66a&from=web&sign=8ef64e004a3026e561145c23a8746180
ELTA影剧,https://dispatch.ulivetv.net/v/live/cl7cqioy0kao.m3u8?stream_id=cl7cqioy0kao&timestamp=1686210862&rand=44cPOaOZUQ&uuid=9b647b3816b2a66a&from=web&sign=84475c7d9856afb7509b65040337abbc
EYE戏剧台,https://dispatch.ulivetv.net/v/live/cl7crqv0voao.m3u8?stream_id=cl7crqv0voao&timestamp=1686210876&rand=51hESY4eAk&uuid=9b647b3816b2a66a&from=web&sign=4c05a065bf7b432cfaac142fab5cbb84
星卫电影台,https://dispatch.ulivetv.net/v/live/cl7cs387s6v4.m3u8?stream_id=cl7cs387s6v4&timestamp=1686210890&rand=5g8ga1epwo&uuid=9b647b3816b2a66a&from=web&sign=940146a8d1fd14403ce2916212f93e14
星卫娱乐台,https://dispatch.ulivetv.net/v/live/cl7csf4rd2gw.m3u8?stream_id=cl7csf4rd2gw&timestamp=1686210905&rand=2K8Vrgqzx9&uuid=9b647b3816b2a66a&from=web&sign=5534e54e29fd1f710501dc349ab6d20e
MTVLive频道,https://dispatch.ulivetv.net/v/live/clecsxddtsxs.m3u8?stream_id=clecsxddtsxs&timestamp=1686210919&rand=5chqUAFxpA&uuid=9b647b3816b2a66a&from=web&sign=5447ec01daf34dc26bfa402427a74fc4
国兴卫视,https://dispatch.ulivetv.net/v/live/clect8xzw534.m3u8?stream_id=clect8xzw534&timestamp=1686210933&rand=W8Psp6XSx4&uuid=9b647b3816b2a66a&from=web&sign=06c385608948b65b980f454660732505
纬来体育,https://dispatch.ulivetv.net/v/live/cg1mbnhpe0u8.m3u8?stream_id=cg1mbnhpe0u8&timestamp=1686210947&rand=YhsvzJaS70&uuid=9b647b3816b2a66a&from=web&sign=f34b86efa5a1f07963003c2347fde9f9
ELEVEN体育-1,https://dispatch.ulivetv.net/v/live/cg1mg0pkbi68.m3u8?stream_id=cg1mg0pkbi68&timestamp=1686210962&rand=5t2u3nv8XL&uuid=9b647b3816b2a66a&from=web&sign=ae0fa9ecd51d5c73274647324c2da02c
